"","Aspect","TempSeasonality","MaxMonTemp","Elevation","KLg","pH","AlLg","FeLg","Total.C","PLg","SLg","MeanMonTempRange","CaLg","Total.N","AnnMeanTemp","Latitude","Longitude","MgLg","MnLg","Isothemality","CNratio","CLg","NLg","SurfaceGeology","BiogegraphicalRegion","Location","Altitude"
"AA1.1",103.6505,0.9665,30.71,410,2.336459734,5.51,4.752824104,5.123854906,8.623,3.152594078,2.995196292,9.62,2.80140371,0.6445,22.5,-17.609964,145.766577,2.923244019,3.127428778,0.5483,2.59371350857308,2.15443305197019,-0.439280456602895,"Basalt","WT","Tchupala","MEDIUM"
"AA1.2",99.7398,0.9665,30.71,410,2.292256071,5.74,4.764930447,5.214846496,7.667,3.240798771,2.944482672,9.62,3.10754913,0.6065,22.5,-17.609964,145.766577,2.926856709,3.283527365,0.5483,2.53697595517479,2.03692540457676,-0.500050550598032,"Basalt","WT","Tchupala","MEDIUM"
"AA1.3",308.2145,0.9665,30.71,410,2.23299611,5.94,4.773062017,5.264820183,7.966,3.245759356,2.958563883,9.62,2.976349979,0.6591,22.5,-17.609964,145.766577,2.864511081,3.574147064,0.5483,2.49206249568292,2.07518248475945,-0.416880010923463,"Basalt","WT","Tchupala","MEDIUM"
"AA2.1",187.3814,0.9971,27.14,1050,2.225309282,5.38,5.021193435,5.206828574,7.842,3.238297068,2.902546779,8.64,2.26245109,0.6247,19.13,-17.68226,145.53411,2.99343623,3.187802639,0.5107,2.52997764835275,2.05949390387014,-0.470483744482613,"Basalt","WT","Coochimbeerum","HIGH"
"AA2.2",152.8623,0.9971,27.14,1050,2.012837225,5.26,4.804827486,4.818892005,6.31,2.662757832,2.72427587,8.64,2.184691431,0.4403,19.13,-17.68226,145.53411,2.536558443,2.315970345,0.5107,2.66243464277355,1.84213567655312,-0.820298966220429,"Basalt","WT","Coochimbeerum","HIGH"
"AA2.3",139.7832,0.9971,27.14,1050,2.290034611,5.24,4.761935352,4.62014647,6.569,2.460897843,2.77524626,8.64,2.392696953,0.4586,19.13,-17.68226,145.53411,2.495544338,1.923761961,0.5107,2.66193852246867,1.88236161391034,-0.779576908558333,"Basalt","WT","Coochimbeerum","HIGH"
"AA3.1",87.605,0.8224,31.9,70,2.600972896,5.59,4.442495447,4.212214247,2.369,1.883661435,2.499687083,9.12,1.996511672,0.147,24.46,-16.167472,145.404203,2.178976947,1.824125834,0.5699,2.77979061738005,0.862467925176648,-1.9173226922034,"Mudstone","WT","Turpentine","LOW"
"AA3.2",98.0973,0.8224,31.9,70,3.290257269,5.63,4.383833312,4.173215415,3.503,2.220108088,2.631443769,9.12,2.50242712,0.2488,24.46,-16.167472,145.404203,3.090258053,2.511883361,0.5699,2.64472566233246,1.25361974421535,-1.39110591811711,"Mudstone","WT","Turpentine","LOW"
"AA3.3",86.0931,0.8224,31.9,70,2.555094449,5.32,4.214870329,3.952840857,2.438,1.662757832,2.376576957,9.12,1.707570176,0.138,24.46,-16.167472,145.404203,2.348304863,1.668385917,0.5699,2.87167962488401,0.89117803105908,-1.98050159382493,"Mudstone","WT","Turpentine","LOW"
"AA4.1",270.3022,0.8563,26.97,940,2.491361694,4.79,4.136752266,3.532881719,2.663,2.371067862,2.444044796,7.92,2.136720567,0.1865,19.8,-16.594605,145.281487,2.257678575,1.959041392,0.5285,2.65877734673006,0.979453306831795,-1.67932403989827,"Granite","WT","Mt Lewis","HIGH"
"AA4.2",175.3886,0.8563,26.97,940,2.285557309,5.11,4.350267406,4.03746634,4.858,2.436162647,2.558708571,7.92,2.285557309,0.3197,19.8,-16.594605,145.281487,2.195899652,1.824125834,0.5285,2.72099905349632,1.58062683057998,-1.14037222291634,"Granite","WT","Mt Lewis","HIGH"
"AA4.3",130.0218,0.8563,26.97,940,2.710117365,4.65,4.574042849,4.198684573,4.64,2.5132176,2.701567985,7.92,2.093421685,0.3333,19.8,-16.594605,145.281487,2.596597096,1.698100546,0.5285,2.63342665990661,1.53471436623816,-1.09871229366844,"Granite","WT","Mt Lewis","HIGH"
